,price
0,400000.0
1,811000.0
2,585000.0
3,462000.0
4,790000.0
6,345000.0
7,1200000.0
9,585000.0
10,690000.0
11,682000.0
12,825000.0
13,595000.0
17,521000.0
18,1005000.0
21,582000.0
23,457000.0
26,570000.0
27,220000.0
33,674000.0
34,349000.0
37,405999.0
41,594000.0
42,710000.0
43,692000.0
46,411000.0
49,610000.0
51,530000.0
54,715000.0
57,625000.0
60,550000.0
62,220000.0
63,428000.0
65,930000.0
66,455000.0
69,442000.0
71,500000.0
74,537000.0
77,468000.0
78,420000.0
80,919999.0
82,850000.0
84,388000.0
85,490000.0
86,494000.0
87,525000.0
90,365000.0
91,420000.0
94,1050000.0
96,394000.0
97,725000.0
99,835000.0
100,695000.0
102,330000.0
103,990000.0
105,755000.0
108,271000.0
109,1280000.0
110,436000.0
112,1250000.0
121,249000.0
125,385000.0
128,276000.0
129,500000.0
130,730000.0
132,399000.0
133,312000.0
136,719000.0
138,300000.0
140,627000.0
145,440000.0
149,275000.0
150,676000.0
153,444000.0
154,509999.0
158,994999.0
160,834000.0
161,560000.0
162,454000.0
165,462000.0
168,843000.0
169,799000.0
170,576000.0
172,795000.0
173,1085000.0
176,777000.0
177,753000.0
179,725000.0
181,629000.0
182,447000.0
185,745000.0
186,490000.0
188,675000.0
189,330000.0
191,869000.0
194,1025000.0
198,844000.0
199,764000.0
200,420000.0
201,684000.0
202,802999.0
203,320000.0
206,548000.0
207,619000.0
208,1000000.0
209,865000.0
211,535000.0
212,975000.0
213,699000.0
214,1150000.0
215,625000.0
218,675000.0
220,420000.0
224,525000.0
225,750000.0
227,645000.0
230,850000.0
234,999000.0
235,825000.0
237,1295000.0
238,329000.0
243,681000.0
245,318000.0
246,688000.0
247,1300000.0
248,265000.0
249,645000.0
252,620000.0
253,1470000.0
254,220000.0
256,415000.0
257,610000.0
258,560000.0
259,425000.0
260,686000.0
261,517000.0
262,385000.0
263,675000.0
265,499000.0
266,774000.0
269,1025000.0
270,1400000.0
271,285000.0
273,780000.0
274,475000.0
276,555000.0
277,607000.0
278,513999.0
279,250000.0
280,705000.0
281,653000.0
283,564000.0
284,370000.0
285,550000.0
286,517000.0
287,620000.0
290,1220000.0
292,575000.0
294,868000.0
296,980000.0
297,900000.0
298,550000.0
300,610000.0
301,543000.0
302,980000.0
303,535000.0
306,505000.0
308,865000.0
309,999000.0
313,550000.0
316,520000.0
317,616000.0
320,624000.0
321,549000.0
323,524000.0
325,583000.0
326,1147000.0
330,755000.0
331,875000.0
332,855000.0
334,525000.0
335,650000.0
338,424000.0
342,850000.0
343,836000.0
344,660000.0
345,334000.0
346,594000.0
347,991000.0
353,825000.0
355,919999.0
357,729000.0
358,432000.0
362,1625000.0
364,1218000.0
365,524000.0
367,1390000.0
369,1275000.0
375,260000.0
377,681000.0
378,405000.0
379,765000.0
380,487000.0
383,770000.0
384,818000.0
385,724000.0
386,468000.0
388,600000.0
390,525000.0
391,175000.0
393,550000.0
394,650000.0
395,775000.0
397,408000.0
398,642000.0
400,521000.0
401,695000.0
402,390000.0
403,429000.0
404,520000.0
405,625000.0
406,601000.0
408,645000.0
410,695000.0
413,894999.0
414,350000.0
417,581000.0
418,513000.0
419,650000.0
420,806000.0
421,725000.0
423,426000.0
424,484999.0
425,351000.0
426,490000.0
428,509999.0
430,1025000.0
433,675000.0
434,190000.0
436,823000.0
437,554000.0
438,499000.0
439,815000.0
440,719000.0
441,372000.0
442,515000.0
443,554000.0
444,700000.0
445,409999.0
450,765000.0
453,1175000.0
454,999000.0
455,715000.0
458,404000.0
459,358000.0
460,581000.0
461,630000.0
462,560000.0
464,525000.0
465,501000.0
466,617000.0
467,365000.0
469,775000.0
472,725000.0
473,840000.0
474,799000.0
476,696000.0
477,576000.0
478,721000.0
480,594000.0
483,426000.0
485,905000.0
491,894999.0
492,1099000.0
494,445000.0
496,775000.0
497,327000.0
498,661000.0
500,682000.0
501,577000.0
502,500000.0
503,679000.0
505,776000.0
506,690000.0
511,799000.0
513,835000.0
518,426000.0
519,625000.0
520,447000.0
521,552000.0
523,459000.0
525,405000.0
526,536000.0
531,880000.0
533,475000.0
536,960000.0
537,532000.0
540,715000.0
541,740000.0
543,455000.0
545,524000.0
547,525000.0
553,850000.0
554,1260000.0
555,850000.0
556,493000.0
557,505000.0
558,825000.0
559,682000.0
560,486000.0
562,540000.0
563,530000.0
564,407000.0
565,453000.0
566,1010000.0
569,625000.0
570,635000.0
576,977000.0
578,667000.0
579,494000.0
581,792000.0
582,695000.0
583,360000.0
585,827000.0
586,382000.0
587,650000.0
588,512000.0
589,463000.0
591,525000.0
593,627000.0
594,511000.0
595,55000.0
596,600000.0
599,750000.0
602,985000.0
604,200000.0
605,710000.0
606,586000.0
607,1500000.0
608,584000.0
609,409000.0
611,738000.0
612,380000.0
613,656000.0
614,483000.0
615,509999.0
617,185000.0
618,180000.0
622,300000.0
625,546000.0
626,533000.0
628,332000.0
631,347000.0
633,1359000.0
634,543000.0
636,475000.0
638,350000.0
639,135000.0
644,300000.0
645,377000.0
648,674000.0
649,613000.0
650,1145000.0
651,595000.0
652,450000.0
653,599000.0
654,625000.0
659,320000.0
662,525000.0
666,593000.0
667,250000.0
668,685000.0
669,699000.0
671,425000.0
672,380000.0
673,574000.0
674,573000.0
675,70000.0
677,425000.0
679,600000.0
681,430000.0
683,1075000.0
685,615000.0
686,746000.0
688,667000.0
689,634000.0
690,40000.0
691,579000.0
692,509999.0
693,634000.0
694,527000.0
695,900000.0
699,650000.0
705,982000.0
706,674000.0
707,810000.0
709,513000.0
711,579000.0
712,550000.0
713,383000.0
714,605000.0
715,985000.0
716,935000.0
717,675000.0
718,135000.0
719,1345000.0
722,734000.0
723,701000.0
725,789000.0
726,548000.0
728,476999.0
730,515000.0
731,562000.0
732,345000.0
734,670000.0
735,950000.0
736,700000.0
737,80000.0
741,550000.0
742,581000.0
743,582000.0
745,531000.0
746,558000.0
747,155000.0
748,508000.0
750,542000.0
751,501000.0
755,300000.0
758,55000.0
759,630000.0
761,417000.0
762,631000.0
764,544000.0
765,704000.0
767,359000.0
769,335000.0
770,766000.0
771,350000.0
772,480000.0
780,260000.0
781,539000.0
785,636000.0
787,615000.0
789,718000.0
790,436000.0
791,280000.0
792,780000.0
797,670000.0
798,900000.0
799,600000.0
800,110000.0
801,605000.0
802,559000.0
803,268000.0
805,864000.0
806,240000.0
807,341000.0
809,513000.0
810,661000.0
812,520000.0
814,300000.0
816,1295000.0
819,275000.0
820,575000.0
821,338000.0
822,604000.0
824,327000.0
825,621000.0
826,240000.0
827,621000.0
829,708000.0
830,443000.0
835,520000.0
836,470000.0
840,75000.0
841,649000.0
842,657000.0
843,420000.0
844,629000.0
845,322000.0
846,620000.0
847,434999.0
849,317000.0
850,574000.0
851,780000.0
852,800000.0
857,350000.0
859,830000.0
863,65000.0
864,547000.0
865,413000.0
867,709000.0
869,528000.0
873,800000.0
874,550000.0
876,130000.0
878,650000.0
881,609000.0
882,678000.0
884,449000.0
885,552000.0
887,56000.0
888,426000.0
889,607000.0
893,240000.0
894,680000.0
897,720000.0
902,80000.0
903,608000.0
906,751000.0
907,535000.0
909,328000.0
910,725000.0
911,740000.0
913,480000.0
916,210000.0
917,480000.0
919,1280000.0
920,770000.0
921,599000.0
923,231999.0
924,525000.0
927,400000.0
928,966000.0
929,781000.0
936,350000.0
938,700000.0
939,229999.0
940,875000.0
941,925000.0
943,930000.0
944,898000.0
946,449000.0
948,335000.0
949,825000.0
950,935000.0
954,1540000.0
957,1025000.0
960,808000.0
963,1261000.0
964,850000.0
965,270000.0
968,508000.0
969,340000.0
974,800000.0
977,638000.0
978,315000.0
980,490000.0
982,430000.0
984,270000.0
985,517000.0
987,627000.0
988,509999.0
991,575000.0
993,925000.0
994,475000.0
996,225000.0
999,513999.0
1000,347000.0
1002,1329000.0
1003,300000.0
1006,642000.0
1007,911000.0
1010,450000.0
1011,1565000.0
1012,450000.0
1013,459999.0
1016,229999.0
1017,1200000.0
1018,543000.0
1019,1035000.0
1020,1150000.0
1021,479000.0
1022,736000.0
1023,530000.0
1024,880000.0
1027,1030000.0
1030,390000.0
1032,919999.0
1034,650000.0
1035,240000.0
1038,312000.0
1039,582000.0
1040,150000.0
1041,618000.0
1042,916000.0
1043,300000.0
1044,555000.0
1046,950000.0
1047,608000.0
1051,225000.0
1052,249000.0
1056,375000.0
1057,550000.0
1058,590000.0
1059,511000.0
1060,260000.0
1061,381000.0
1063,575000.0
1064,428000.0
1066,696000.0
1067,740000.0
1069,300000.0
1070,500000.0
1072,75000.0
1076,275000.0
1081,591000.0
1082,428000.0
1084,697000.0
1085,630000.0
1086,429000.0
1087,463999.0
1088,750000.0
1089,1100000.0
1097,360000.0
1098,733000.0
1099,375000.0
1101,657000.0
1102,729000.0
1103,800000.0
1104,501000.0
1107,1193000.0
1108,900000.0
1110,925000.0
1111,865000.0
1112,1585000.0
1116,195000.0
1117,799000.0
1118,689000.0
1119,1068000.0
1121,383000.0
1122,327000.0
1124,639000.0
1126,660000.0
1127,325000.0
1129,1075000.0
1130,975000.0
1131,300000.0
1133,260000.0
1136,250000.0
1138,1073000.0
1139,349000.0
1140,484999.0
1141,591000.0
1142,657000.0
1144,591000.0
1145,509999.0
1146,658000.0
1147,513999.0
1148,330000.0
1150,950000.0
1151,495000.0
1153,330000.0
1155,260000.0
1157,650000.0
1158,375000.0
1159,647000.0
1160,245000.0
1161,591000.0
1162,575000.0
1163,659000.0
1164,720000.0
1165,733000.0
1166,867000.0
1167,850000.0
1168,919999.0
1169,720000.0
1170,120000.0
1172,350000.0
1173,360000.0
1175,200000.0
1177,381000.0
1179,389000.0
1180,445000.0
1181,186000.0
1182,642000.0
1183,725000.0
1184,616000.0
1185,694000.0
1188,300000.0
1189,400000.0
1190,649000.0
1191,360000.0
1193,240000.0
1194,800000.0
1195,350000.0
1196,415000.0
1197,384000.0
1199,782000.0
1200,463000.0
1201,660000.0
1202,663000.0
1203,900000.0
1204,316000.0
1205,436000.0
1211,175000.0
1215,593000.0
1217,560000.0
1221,459000.0
1227,825000.0
1232,656000.0
1233,612000.0
1235,436000.0
1236,721000.0
1238,620000.0
1240,643000.0
1241,822000.0
1242,838000.0
1246,345000.0
1248,675000.0
1249,875000.0
1250,484999.0
1251,775000.0
1252,655000.0
1253,525000.0
1254,442000.0
1255,476000.0
1256,865000.0
1257,338000.0
1258,1299000.0
1259,492000.0
1260,544000.0
1262,1085000.0
1266,425000.0
1267,818000.0
1269,695000.0
1270,475000.0
1271,551000.0
1272,352000.0
1274,479000.0
1275,559000.0
1277,409000.0
1278,539000.0
1279,737000.0
1283,585000.0
1287,590000.0
1289,1545000.0
1291,540000.0
1292,491000.0
1294,436000.0
1295,616000.0
1297,533000.0
1299,626000.0
1300,632000.0
1304,1085000.0
1306,1365000.0
1311,483000.0
1314,573000.0
1315,658000.0
1317,906000.0
1318,1195000.0
1320,413000.0
1321,624000.0
1324,725000.0
1326,650000.0
1328,865000.0
1331,475000.0
1334,520000.0
1335,530000.0
1337,312000.0
1338,919999.0
1339,403000.0
1340,415000.0
1341,850000.0
1343,1145000.0
1345,645000.0
1346,1440000.0
1348,1225000.0
1352,507000.0
1353,1019999.0
1354,472000.0
1355,471000.0
1356,821000.0
1357,509999.0
1358,599000.0
1359,401999.0
1360,1002000.0
1361,975000.0
1362,795000.0
1363,550000.0
1364,1298000.0
1365,1085000.0
1367,1109000.0
1369,894999.0
1371,466000.0
1374,378000.0
1375,555000.0
1377,370000.0
1378,810000.0
1379,774000.0
1380,530000.0
1381,944999.0
1382,880000.0
1383,525000.0
1386,650000.0
1387,875000.0
1388,500000.0
1391,395000.0
1393,1300000.0
1394,490000.0
1395,520000.0
1397,616000.0
1398,825000.0
1400,618000.0
1402,390000.0
